stellenart,berufe,letzteTaetigkeit.jahr,letzteTaetigkeit.bezeichnung
ARBEIT,['Gestalter/in - visuelles Marketing'],2026,Gestalter/in - visuelles Marketing
ARBEIT,"['Helfer/in - Gartenbau', 'Hausmeister/in']",2026,Helfer/in - Gartenbau
ARBEIT,"['Tierlehrer/in', 'Dozent/in - Hochschulen und Akademien', 'Fallmanager/in']",,Lehrer/in/Dozent/in - Erwachsenenbildung
ARBEIT,['Helfer/in - Reinigung'],,Helfer/in - Reinigung
ARBEIT,['Helfer/in - Verkauf'],,
ARBEIT,"['Personalreferent/in', 'Personalsachbearbeiter/in']",,"Helfer/in - Büro, Verwaltung"
ARBEIT,['Helfer/in - Reinigung'],,Helfer/in - Reinigung
ARBEIT,"['Ingenieur/in - Stadt- und Regionalplanung', 'Stadt- und Regionalplaner/in']",2026,Stadt- und Regionalplaner/in
ARBEIT,"['Ingenieur/in - Stadt- und Regionalplanung', 'Stadt- und Regionalplaner/in']",2026,Stadt- und Regionalplaner/in
ARBEIT,"['Schulbegleiter/in', 'Betreuungskraft / Alltagsbegleiter/in']",2025,Betreuungskraft / Alltagsbegleiter/in
ARBEIT,"['Personalreferent/in', 'Recruiter/in', 'Personalsachbearbeiter/in']",2026,Personalsachbearbeiter/in
ARBEIT,['Erzieher/in'],,Erzieher/in
ARBEIT,['Kapitän/in'],2026,Kapitän/in
ARBEIT,['Kraftfahrzeugmechaniker/in'],2026,Kraftfahrzeugmechaniker/in
ARBEIT,['Bürokaufmann/-frau'],2026,Bürokaufmann/-frau
