beruf,titel
Medizinische/r Fachangestellte/r,Mitarbeiter/innen für die Rufbereitschaft Hausnotruf (m/w/d)
Betriebswirt/in (Fachschule) - Finanzen und Investment/Bachelor Professional in Wirtschaft,"Projectmanager Technical Investment (w/m/d), Zentrale"
Servicemonteur/in - Windenergieanlagentechnik,"Technischer Betriebsführer (m/w/d) Photovoltaikanlagen & Batteriespeicher,Sehestedt,Kiel"
Netzmeister/in/Bachelor Professional für Verteilnetze,"Portfoliomanager:in Strom/Gas, Geniner Str. 80 in 23560 Lübeck"
Einkäufer/in,"Junior Einkäufer:in, Geniner Str. 80 in 23560 Lübeck"
Fachwirt/in - Einkauf/Bachelor Professional in Procurement,"Referent:in Einkauf, Geniner Str. 80 in 23560 Lübeck"
IT-Systemadministrator/in,"Systemadministrator (d/m/w) Exchange,Hannover,Leipzig,Potsdam,Rostock,Lübeck,Kiel,Dresden"
Industriemechaniker/in,Industriemechaniker (m/w/d)
Telefonist/in,Mitarbeiter/innen Hausnotruf (m/w/d) für den Bereitschaftsdienst / Einsatzdienst
Industriemechaniker/in - Maschinen- und Systemtechnik,Werkstattmitarbeiter (m/w/d)
Gesundheitsmanager/in,Betriebsleiter Reha-Technik (m/w/d)
Social-Media-Manager/in,Content & Social Media Manager (m/w/d)
Maler/in und Lackierer/in - Maler/in,"Maler und Lackierer, auch angelernt"
Verkäufer/in,Verkäufer (m/w/d)
Kindergartenhelfer/in,Sozialpädagogische Assistentin/Erzieher/in (m/w/d)
Servicekraft - Gastronomie und Gastgewerbe,Stellvertretender Serviceleiter / Gastgeber / Serviceassistent (m/w/d)
Dachdecker/in,Dachdecker (m/w/d) gesucht!!
"Helfer/in - Lagerwirtschaft, Transport",Einweiser (m/w/d) für den blauen AUTOZUG
Stadt- und Regionalplaner/in,Stadtplaner/in (m/w/d)
Hausmeister/in,Hausmeister*in am Bienenhof (m/w/d)
Verwaltungsfachangestellte/r - Kommunalverwaltung,Sachbearbeiter*in in der Stadtkasse (m/w/d)
Tischler/in,Anleiter (m/w/d)
Personalsachbearbeiter/in,"eine Sachbearbeiterin oder einen Sachbearbeiter  in der Personalverwaltung (w, m, d)"
