city,population,lat,lon,date,peak_temperature,precipitation_mm
Oberhausen,219176,51.493847,6.8478265,2016-11-20,13.5,2.6
Oberhausen,219176,51.493847,6.8478265,2016-11-21,13.3,4.8
Oberhausen,219176,51.493847,6.8478265,2016-11-22,12.3,0.6
Oberhausen,219176,51.493847,6.8478265,2016-11-23,13.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-11-24,8.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-11-25,7.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-11-26,6.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-11-27,7.4,0.1
Oberhausen,219176,51.493847,6.8478265,2016-11-28,2.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-11-29,1.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-11-30,2.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-01,6.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-02,8.2,0.1
Oberhausen,219176,51.493847,6.8478265,2016-12-03,3.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-04,2.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-05,3.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-06,4.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-07,7.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-08,8.3,0.1
Oberhausen,219176,51.493847,6.8478265,2016-12-09,9.7,0.1
Oberhausen,219176,51.493847,6.8478265,2016-12-10,8.8,1.1
Oberhausen,219176,51.493847,6.8478265,2016-12-11,9.1,2.8
Oberhausen,219176,51.493847,6.8478265,2016-12-12,7.5,0.3
Oberhausen,219176,51.493847,6.8478265,2016-12-13,6.8,1.3
Oberhausen,219176,51.493847,6.8478265,2016-12-14,9.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-15,8.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-16,6.3,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-17,6.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-18,7.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-19,6.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-20,4.6,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-21,5.1,1.1
Oberhausen,219176,51.493847,6.8478265,2016-12-22,6.2,10.4
Oberhausen,219176,51.493847,6.8478265,2016-12-23,7.2,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-24,7.6,1.3
Oberhausen,219176,51.493847,6.8478265,2016-12-25,9.1,0.8
Oberhausen,219176,51.493847,6.8478265,2016-12-26,9.9,3.8
Oberhausen,219176,51.493847,6.8478265,2016-12-27,7.8,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-28,4.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-29,4.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-30,3.4,0.0
Oberhausen,219176,51.493847,6.8478265,2016-12-31,1.5,0.0
Oberhausen,219176,51.493847,6.8478265,2017-01-01,1.4,0.2
Oberhausen,219176,51.493847,6.8478265,2017-01-02,3.5,3.6
Oberhausen,219176,51.493847,6.8478265,2017-01-03,3.8,2.5
Oberhausen,219176,51.493847,6.8478265,2017-01-04,6.0,4.2
Oberhausen,219176,51.493847,6.8478265,2017-01-05,1.1,0.0
Oberhausen,219176,51.493847,6.8478265,2017-01-06,-1.4,0.0
Oberhausen,219176,51.493847,6.8478265,2017-01-07,0.8,1.7
Oberhausen,219176,51.493847,6.8478265,2017-01-08,3.0,0.0
Oberhausen,219176,51.493847,6.8478265,2017-01-09,4.4,0.7
Oberhausen,219176,51.493847,6.8478265,2017-01-10,4.7,6.3
Oberhausen,219176,51.493847,6.8478265,2017-01-11,7.7,2.1
Oberhausen,219176,51.493847,6.8478265,2017-01-12,6.2,8.2
Oberhausen,219176,51.493847,6.8478265,2017-01-13,4.4,9.6
Oberhausen,219176,51.493847,6.8478265,2017-01-14,3.4,2.3
Oberhausen,219176,51.493847,6.8478265,2017-01-15,2.5,3.4
Oberhausen,219176,51.493847,6.8478265,2017-01-16,0.9,0.2
Oberhausen,219176,51.493847,6.8478265,2017-01-17,0.0,0.0
Oberhausen,219176,51.493847,6.8478265,2017-01-18,-0.3,0.0
